"gene_symbol" "FPKM" "count"
"TPRG1L" 39.8979 2108
"WRAP73" 5.37209 191
"TP73" 4.94614 535
"TP73-AS1" 2.84919 332
"CCDC27" 0 0
"SMIM1" 0.660678 5
"LRRC47" 20.1615 1171
"CEP104" 3.67627 546
"DFFB" 1.13178 80
"C1orf174" 9.17437 319
"LINC01134" 0.457174 19
"LINC01346" 0 0
"LOC284661" 0.0224943 1
"AJAP1" 0.170256 11
"MIR4417" 0 0
"MIR4689" 0 0
"NPHP4" 2.83609 314
"KCNAB2" 6.89181 611
"CHD5" 0.0044524 1
"RPL22" 288.751 12912
"RNF207" 0.379951 34
"ICMT" 22.3065 2436
"LINC00337" 0.234236 8
"HES3" 0 0
"GPR153" 6.73034 620
"ACOT7" 23.8732 749
"HES2" 12.1957 1175
"ESPN" 4.76968 377
"MIR4252" 0 0
"TNFRSF25" 4.91001 143
"PLEKHG5" 8.17985 879
"NOL9" 2.56876 396
"TAS1R1" 0.20698 9
"ZBTB48" 2.29369 114
"KLHL21" 19.1578 1949
"PHF13" 8.67132 714
"THAP3" 5.00406 139
"DNAJC11" 12.8762 589
"LOC100505887" 0 0
"CAMTA1" 23.4981 436
"VAMP3" 69.0841 3286
"PER3" 4.99577 718
"UTS2" 1.26535 13
"TNFRSF9" 0.676451 93
"PARK7" 109.524 1861
"ERRFI1" 13.655 949
"SLC45A1" 0.253584 14
"RERE" 9.8921 1535
"ENO1" 403.266 19027
"ENO1-AS1" 1.03248 2
"MIR6728" 0 0
"CA6" 10.3663 242
"SLC2A7" 0.03149 1
"SLC2A5" 2.16589 115
"GPR157" 6.01942 136
"MIR34A" 0 0
"H6PD" 15.7703 3312
"SPSB1" 9.8102 679
"LOC100506022" 0.740514 38
"SLC25A33" 4.61467 138
"TMEM201" 3.05551 266
"PIK3CD" 3.67923 455
"CLSTN1" 44.4546 5203
"C1orf200" 0.0259757 1
"CTNNBIP1" 100.949 6625
"LZIC" 15.3723 440
"NMNAT1" 2.54192 216
"RBP7" 15.6883 169
"UBE4B" 17.6063 2215
"KIF1B" 12.5865 2688
"PGD" 75.0662 3092
"APITD1" 4.28278 36
"APITD1-CORT" 0.390795 1
"CORT" 6.08801e-28 0
"DFFA" 8.45439 493
"PEX14" 9.08591 371
"CASZ1" 14.0496 2183
"C1orf127" 0.0822867 5
"TARDBP" 27.0234 2575
"MASP2" 0.504677 27
"SRM" 38.2438 973
"EXOSC10" 19.0769 1179
"MTOR" 7.17136 1451
"MTOR-AS1" 0.667615 0
"ANGPTL7" 1.18993 59
"UBIAD1" 5.52705 453
"PTCHD2" 0.00840401 0
"LOC101929181" 0.466869 12
"FBXO2" 6.01103 216
"FBXO44" 3.08063 194
"FBXO6" 17.066 546
"MAD2L2" 16.4554 359
"DRAXIN" 0 0
"AGTRAP" 23.8664 557
"C1orf167" 0.0471142 1
"CLCN6" 1.7335 186
"NPPA-AS1" 0.073648 1
"MTHFR" 6.42633 928
"NPPA" 0.0645324 1
"NPPB" 0 0
"KIAA2013" 20.0209 1246
"PLOD1" 15.5272 1043
"MFN2" 38.7769 4103
"MIIP" 5.79323 220
"MIR6729" 0 0
"TNFRSF8" 0.471693 38
"MIR7846" 0 0
"TNFRSF1B" 15.923 1313
"MIR4632" 0 0
"VPS13D" 11.09 4229
"DHRS3" 20.4297 738
"MIR6730" 0 0
"AADACL4" 0 0
"AADACL3" 2.14723 193
"C1orf158" 0 0
"PRAMEF12" 0 0
"PRAMEF1" 0 0
"PRAMEF11" 0 0
"LOC649330" 7.95638 0
"HNRNPCL1" 6.38663e-06 0
"PRAMEF2" 0 0
"PRAMEF4" 0 0
"PRAMEF7" 0 0
"PRAMEF6" 0 0
"PRAMEF9" 0 0
"LOC645354" 0 0
"HNRNPCL2" 2.29431 52
"LOC649324" 0 0
"LOC391003" 0 0
"PRAMEF22" 0 0
"PRAMEF5" 0 0
"PRAMEF14" 0 0
"PRAMEF19" 0 0
"PRAMEF16" 0 0
"PRAMEF17" 0 0
"PRAMEF8" 0 0
"PRAMEF10" 0 0
"LOC645382" 0 0
"PRAMEF15" 0 0
"LOC400736" 0 0
"PRAMEF20" 0 0
"LRRC38" 0.148092 6
"PDPN" 8.41081 521
"PRDM2" 8.98645 1159
"KAZN" 9.53815 786
"TMEM51-AS1" 0.683709 16
"TMEM51" 7.36945 302
"C1orf195" 0 0
"FHAD1" 0.112023 13
"EFHD2" 37.2495 1961
"CTRC" 0 0
"CELA2A" 0 0
"CELA2B" 0.0583636 0
"CASP9" 1.77117 119
"DNAJC16" 2.66417 367
"AGMAT" 1.05576 74
"DDI2" 6.92656 269
"RSC1A1" 9.39093 182
"PLEKHM2" 23.0795 2147
"SLC25A34" 0.690182 47
"TMEM82" 0 0
"FBLIM1" 13.0904 753
"UQCRHL" 44.4023 355
"FLJ37453" 1.68124 101
"SPEN" 7.12883 2035
"ZBTB17" 4.72564 279
"C1orf64" 0 0
"HSPB7" 1.29946 83
"CLCNKA" 0.0190952 1
"CLCNKB" 0.0427073 2
"FAM131C" 1.09546 39
"EPHA2" 15.0696 1346
"ARHGEF19" 7.73187 519
"RSG1" 1.36414 44
"FBXO42" 13.5577 892
"SZRD1" 41.529 3396
"SPATA21" 0 0
"NECAP2" 36.4434 1598
"CROCCP3" 0.676742 83
"NBPF1" 4.68508 638
"CROCCP2" 2.77473 102
"MST1P2" 0.328742 19
"MIR3675" 0 0
"ESPNP" 0.23226 10
"FAM231A" 0.272835 2
"MST1L" 0.245213 26
"CROCC" 2.02323 310
"MFAP2" 13.3392 283
"ATP13A2" 8.09123 732
"SDHB" 60.9722 1366
"PADI2" 1.52849 151
"PADI1" 2.727 236
"PADI3" 0.380823 25
"PADI4" 0.142888 7
"PADI6" 0.0191855 1
"RCC2" 48.7233 4373
"ARHGEF10L" 15.5236 1496
"ACTL8" 0 0
"IGSF21" 0.749339 31
"KLHDC7A" 0.0694058 8
"PAX7" 0.0143982 2
"TAS1R2" 0 0
"ALDH4A1" 19.7681 1454
"MIR4695" 0 0
"IFFO2" 41.4636 5545
"UBR4" 7.6057 2829
"EMC1" 6.53785 1004
"MRTO4" 14.9046 733
"AKR7L" 0.977018 49
"AKR7A3" 1.3775 34
"LOC100506730" 1.28841 70
"AKR7A2" 15.1239 868
"PQLC2" 7.60372 313
"CAPZB" 119.619 4492
"MINOS1" 11.0289 908
"MINOS1-NBL1" 67.4611 4
"NBL1" 21.8691 29
"RPS14P3" 35.9877 544
"HTR6" 0.0264388 2
"TMCO4" 3.64635 240
"RNF186" 0.080334 2
"OTUD3" 1.35469 203
"PLA2G2E" 0 0
"PLA2G2A" 3.42494 62
"PLA2G5" 0.149317 6
"PLA2G2D" 0.583056 23
"PLA2G2F" 17.8529 1067
"PLA2G2C" 0 0
"UBXN10-AS1" 0 0
"UBXN10" 0.532143 35
"VWA5B1" 0 0
"LINC01141" 0.0588078 5
"CAMK2N1" 2.09677 107
"MUL1" 15.5122 831
"FAM43B" 0.212336 12
"CDA" 5.72588 103
"PINK1" 12.6958 633
"MIR6084" 1.03716e-05 0
"PINK1-AS" 13.3189 72
"DDOST" 94.5486 3981
"KIF17" 0.480715 43
"SH2D5" 0.120231 10
"HP1BP3" 43.1378 3806
"EIF4G3" 8.49947 1201
"ECE1" 17.6935 2068
"LOC100506801" 0.0177543 1
"NBPF3" 4.92942 463
"ALPL" 3.16854 172
"RAP1GAP" 1.08006 80
"USP48" 10.4051 915
"LDLRAD2" 0.0552739 5
"HSPG2" 13.1638 3267
"CELA3B" 0 0
"CELA3A" 0 0
"LOC101928043" 0.0847956 1
"LINC00339" 6.44971 136
"CDC42" 176.775 8276
"WNT4" 15.4233 1356
"ZBTB40" 2.46737 498
"EPHA8" 0.102016 4
"MIR6127" 0 0
"C1QA" 42.4653 904
"C1QC" 43.7552 1007
"C1QB" 42.2869 846
"EPHB2" 5.08443 563
"MIR4253" 0 0
"MIR4684" 0 0
"LACTBL1" 0 0
"C1orf234" 0 0
"KDM1A" 22.7805 1544
"MIR3115" 0 0
"LUZP1" 7.60152 1484
"HTR1D" 0.12796 8
"LINC01355" 0.280019 22
"HNRNPR" 57.3848 3281
"ZNF436" 10.5807 1034
"C1orf213" 0.77059 19
"TCEA3" 20.2301 665
"ASAP3" 17.0612 1587
"E2F2" 4.11841 488
"LOC101928163" 0.458447 11
"ID3" 20.4587 504
"MDS2" 0.102027 2
"RPL11" 1820.34 18625
"TCEB3" 11.4874 1293
"TCEB3-AS1" 8.58956 4
"PITHD1" 46.1064 1555
"LYPLA2" 32.0959 1084
"GALE" 8.68008 284
"HMGCL" 13.9882 451
"FUCA1" 15.7884 718
"CNR2" 0.240911 9
"MIR378F" 0 0
"PNRC2" 49.7846 2615
"SRSF10" 22.8683 1225
"MYOM3" 1.01579 135
"IL22RA1" 21.3628 1399
"IFNLR1" 3.4674 359
"LOC284632" 0.0256124 1
"GRHL3" 47.6495 2978
"STPG1" 2.36062 140
"NIPAL3" 6.49072 805
"RCAN3AS" 0 0
"RCAN3" 12.1127 656
"LOC100506985" 6.27701 113
"NCMAP" 0.389164 35
"SRRM1" 14.7618 1306
"CLIC4" 30.8632 3101
"RUNX3" 7.22735 704
"MIR6731" 0 0
"SYF2" 31.0902 1159
"RSRP1" 4.26672 127
"RHD" 0.629764 38
"TMEM50A" 63.0468 3143
"RHCE" 1.38215 15
"TMEM57" 11.7356 1050
"LDLRAP1" 15.2866 992
"MAN1C1" 2.59269 270
"SEPN1" 17.962 1723
"MTFR1L" 10.6496 426
"LOC646471" 1.02518 84
"AUNIP" 3.72596 64
"PAQR7" 21.7371 1456
"STMN1" 60.4477 1930
"MIR3917" 0 0
"PAFAH2" 4.87362 391
"EXTL1" 0.287274 26
"SLC30A2" 1.00136 53
"TRIM63" 1.23525 46
"PDIK1L" 4.91493 464
"FAM110D" 1.43312 44
"ZNF593" 25.5881 272
"CNKSR1" 4.62052 255
"CATSPER4" 0 0
"LOC101928303" 1.15311 24
"CEP85" 3.59776 327
"SH3BGRL3" 231.749 5026
"UBXN11" 3.14501 108
"CD52" 75.0164 541
"AIM1L" 6.31438 756
"ZNF683" 0.814166 28
"LIN28A" 0.342519 31
"DHDDS" 10.5068 774
"HMGN2" 155.017 6505
"RPS6KA1" 13.8958 982
"MIR1976" 0 0
"ARID1A" 9.91477 1953
"PIGV" 5.30774 281
"ZDHHC18" 10.7262 748
"SFN" 1205.98 31885
"GPN2" 7.11348 221
"GPATCH3" 7.14579 327
"NR0B2" 0 0
"NUDC" 30.946 1182
"KDF1" 8.5738 326
"TRNP1" 2.50672 104
"FAM46B" 38.6802 1995
"SLC9A1" 6.05829 653
"WDTC1" 15.0457 1649
"TMEM222" 17.0565 578
"LOC644961" 11.2074 652
"SYTL1" 36.617 1527
"MAP3K6" 22.1316 2167
"FCN3" 0.456362 9
"CD164L2" 3.55752 115
"GPR3" 0.11012 5
"WASF2" 43.5347 5479
"AHDC1" 5.38073 804
"FGR" 4.07965 217
"IFI6" 332.397 5026
"FAM76A" 4.08553 305
"STX12" 24.8128 1695
"PPP1R8" 18.7419 974
"SCARNA1" 2.60013 1
"THEMIS2" 8.00917 300
"RPA2" 23.0363 877
"SMPDL3B" 1.0253 40
"XKR8" 3.61683 168
"EYA3" 5.10487 632
"PTAFR" 14.344 1340
"DNAJC8" 44.0466 1632
"ATPIF1" 123.402 1266
"SESN2" 6.73676 532
"MED18" 6.82357 268
"PHACTR4" 9.33073 1328
"SNHG3" 8.56415 383
"RCC1" 14.0684 804
"TRNAU1AP" 8.7199 346
"SNHG12" 3.68157 47
"SNORD99" 62.0531 2
"SNORA61" 23.9989 4
"SNORA44" 22.7782 4
"SNORA16A" 0 0
"RAB42" 1.49234 33
"TAF12" 18.8204 411
"RNU11" 5.27312 1
"GMEB1" 3.6607 216
"YTHDF2" 36.739 2230
"OPRD1" 0 0
"EPB41" 7.86728 1046
"TMEM200B" 3.97813 71
"SRSF4" 21.5268 1190
"MECR" 6.98729 391
"PTPRU" 1.50955 193
"LOC101928460" 0 0
"LOC101929406" 0 0
"MATN1" 0.0348277 2
"MATN1-AS1" 0.159504 4
"LAPTM5" 62.3605 3018
"MIR4420" 0 0
"SDC3" 7.00443 818
"PUM1" 17.1682 2110
"SNORD103A" 0 0
"SNORD85" 0 0
"NKAIN1" 0.588373 38
"SNRNP40" 19.6602 664
"ZCCHC17" 17.9494 607
"FABP3" 1.22271 26
"SERINC2" 22.8015 974
"LINC01225" 0 0
"LINC01226" 0.381499 23
"TINAGL1" 6.26305 288
"HCRTR1" 0.0234067 1
"PEF1" 41.4958 1606
"COL16A1" 11.9508 1526
"BAI2" 0.323201 40
"MIR4254" 0 0
"SPOCD1" 0.0732713 4
"PTP4A2" 38.7805 3128
"KHDRBS1" 53.9683 3434
"TMEM39B" 7.42596 285
"KPNA6" 8.65959 1474
"TXLNA" 16.916 1844
"CCDC28B" 3.98952 64
"IQCC" 1.45573 65
"DCDC2B" 0.0734051 2
"TMEM234" 2.63055 55
"EIF3I" 112.793 3365
"MTMR9LP" 0.238143 12
"FAM167B" 0.502308 9
"LCK" 7.30789 332
"HDAC1" 45.9884 2062
"MARCKSL1" 26.3572 769
"FAM229A" 0.592377 7
"TSSK3" 0.529521 14
"BSDC1" 21.9662 1387
"ZBTB8B" 0.0220748 2
"ZBTB8A" 1.80481 294
"ZBTB8OS" 17.3819 210
"RBBP4" 10.4363 1917
"SYNC" 12.8406 46
"KIAA1522" 46.6481 4626
"YARS" 23.9548 1657
"S100PBP" 2.67895 260
"FNDC5" 0.425312 21
"HPCA" 0.0699323 2
"TMEM54" 105.291 1976
"RNF19B" 13.6985 773
"AK2" 40.0628 3063
"ADC" 0.638036 30
"TRIM62" 7.84727 678
"ZNF362" 8.58561 592
"A3GALT2" 0.0512618 1
"PHC2" 19.6054 1126
"MIR3605" 0 0
"ZSCAN20" 0.356587 34
"CSMD2" 0.0130452 4
"HMGB4" 0 0
"CSMD2-AS1" 0 0
"C1orf94" 0 0
"GJB5" 41.1487 1127
"GJB4" 5.06079 317
"GJB3" 58.5906 2319
"GJA4" 5.75218 194
"SMIM12" 6.34193 848
"DLGAP3" 0.0497697 4
"LOC653160" 0.424822 17
"ZMYM6NB" 10.5928 182
"ZMYM6" 4.55982 535
"ZMYM1" 2.15338 207
"SFPQ" 53.4552 3644
"ZMYM4" 6.1708 994
"KIAA0319L" 7.72967 846
"NCDN" 5.77629 450
"TFAP2E" 1.20922 57
"PSMB2" 23.0493 2454
"C1orf216" 3.39141 220
"CLSPN" 0.893257 174
"AGO4" 6.46152 1051
"AGO1" 5.40722 934
"AGO3" 1.07649 87
"TEKT2" 0 0
"ADPRHL2" 22.339 790
"COL8A2" 4.6954 473
"TRAPPC3" 47.3787 1255
"MAP7D1" 37.3896 2908
"THRAP3" 30.8353 3095
"SH3D21" 1.51824 81
"EVA1B" 9.3857 190
"STK40" 19.4308 1625
"LSM10" 20.0635 309
"OSCP1" 5.38054 119
"MRPS15" 56.0368 1016
"CSF3R" 0.498818 37
"GRIK3" 0.140148 30
"MIR4255" 0 0
"LINC01137" 6.35792 185
"ZC3H12A" 36.4352 2175
"MIR6732" 82.7035 1
"MEAF6" 13.2273 1442
"MIR5581" 0 0
"SNIP1" 4.0465 423
"DNALI1" 0.4991 29
"GNL2" 22.2811 1164
"RSPO1" 2.65944 171
"C1orf109" 5.14417 263
"CDCA8" 6.09591 320
"EPHA10" 0.523973 31
"MANEAL" 3.25953 178
"YRDC" 8.14304 316
"C1orf122" 22.1846 484
"MTF1" 5.28575 975
"INPP5B" 4.03168 407
"SF3A3" 21.2013 1326
"FHL3" 9.71131 323
"UTP11L" 22.6496 994
"POU3F1" 22.6334 1465
"MIR3659" 0 0
"LINC01343" 0.424957 21
"RRAGC" 31.248 1869
"MYCBP" 12.062 22
"GJA9-MYCBP" 2.18006 4
"GJA9" 1.23913e-33 0
"RHBDL2" 17.6411 685
"AKIRIN1" 16.9191 1014
"NDUFS5" 203.24 1770
"MACF1" 14.4298 5988
"KIAA0754" 0.733433 118
"BMP8A" 0.302864 39
"PPIEL" 1.14148 58
"PABPC4" 31.7521 2245
"SNORA55" 0 0
"HEYL" 1.48579 138
"NT5C1A" 0 0
"HPCAL4" 0.0895303 9
"PPIE" 18.5394 603
"BMP8B" 0.507163 41
"OXCT2" 0.415355 16
"TRIT1" 8.83303 404
"MYCL" 24.0113 1759
"MFSD2A" 8.41077 387
"CAP1" 117.032 7112
"PPT1" 58.2442 3085
"RLF" 5.01453 720
"TMCO2" 0 0
"ZMPSTE24" 23.8511 1678
"COL9A2" 1.15339 72
"SMAP2" 32.7027 1955
"ZFP69B" 0.874872 38
"ZFP69" 1.65687 77
"EXO5" 2.06239 98
"ZNF684" 1.06663 48
"RIMS3" 2.19396 366
"NFYC-AS1" 0.52292 37
"NFYC" 24.0232 1033
"MIR30E" 0 0
"MIR30C1" 0 0
"KCNQ4" 0.146595 13
"CITED4" 23.5028 608
"CTPS1" 7.22315 514
"SLFNL1-AS1" 0.714524 78
"SLFNL1" 0.0940448 2
"SCMH1" 4.13884 283
"FOXO6" 0.538911 28
"EDN2" 0.606553 15
"HIVEP3" 1.59191 379
"GUCA2B" 0.212866 2
"GUCA2A" 0 0
"FOXJ3" 10.4638 1236
"RIMKLA" 0.0975197 24
"ZMYND12" 0.240587 8
"PPCS" 24.9646 1083
"CCDC30" 0.654425 45
"PPIH" 27.8593 396
"YBX1" 354.611 11320
"CLDN19" 0.269273 19
"LEPRE1" 9.95843 591
"C1orf50" 5.6419 102
"LOC100129924" 0.107769 2
"CCDC23" 12.7058 179
"ERMAP" 6.8106 516
"ZNF691" 1.81708 68
"LOC339539" 0.155754 8
"SLC2A1" 113.869 9375
"SLC2A1-AS1" 0.593467 13
"FAM183A" 1.06715 8
"EBNA1BP2" 41.2156 1162
"WDR65" 0.138165 12
"MIR6733" 0 0
"TMEM125" 6.8316 257
"C1orf210" 8.89298 264
"TIE1" 3.58935 319
"MPL" 0.330287 27
"CDC20" 17.2193 602
"ELOVL1" 171.796 5334
"MIR6734" 53.7768 1
"MED8" 28.6874 1152
"SZT2" 2.52256 825
"HYI" 6.2142 0
"MIR6735" 0 0
"PTPRF" 49.3684 8803
"KDM4A" 11.3539 1161
"KDM4A-AS1" 1.24013 22
"ST3GAL3" 1.46022 73
"MIR6079" 0 0
"ARTN" 0.0264289 1
"IPO13" 7.05833 641
"DPH2" 9.61813 500
"ATP6V0B" 76.3111 1473
"B4GALT2" 22.2925 967
"CCDC24" 0.668792 20
"SLC6A9" 18.7481 1332
"KLF17" 0.0719686 5
"DMAP1" 9.71455 321
"ERI3" 16.5307 605
"ERI3-IT1" 0.425798 2
"RNF220" 14.6384 974
"MIR5584" 0 0
"TMEM53" 2.34911 78
"C1orf228" 0.198741 7
"KIF2C" 6.16469 392
"RPS8" 2351.41 28118
"SNORD55" 80.7253 2
"SNORD46" 0 0
"SNORD38A" 0 0
"SNORD38B" 102.338 2
"BEST4" 0.0444663 2
"PLK3" 11.1921 573
"TCTEX1D4" 0.0396379 0
"BTBD19" 0.153659 5
"PTCH2" 0.454913 38
"EIF2B3" 9.47444 366
"HECTD3" 12.9574 1053
"UROD" 23.7402 682
"ZSWIM5" 0.50839 68
"LINC01144" 0.362974 13
"HPDL" 1.52635 58
"MUTYH" 2.85513 105
"TESK2" 5.89094 395
"TOE1" 2.8267 141
"CCDC163P" 1.39226 65
"MMACHC" 1.0815 68
"PRDX1" 369.339 7149
"AKR1A1" 54.4202 1575
"NASP" 24.5089 1270
"CCDC17" 0.229187 9
"GPBP1L1" 37.425 3137
"RPS15AP10" 11.0577 185
"TMEM69" 19.2422 580
"IPP" 2.95463 174
"MAST2" 2.68586 353
"PIK3R3" 2.19416 281
"TSPAN1" 0.531091 18
"POMGNT1" 7.82832 470
"LURAP1" 0.664711 16
"RAD54L" 1.37908 84
"LRRC41" 22.0085 1433
"UQCRH" 239.551 1847
"NSUN4" 3.76145 426
"FAAH" 1.95755 88
"LOC729041" 0.118579 3
"DMBX1" 0.26842 17
"MKNK1-AS1" 0.0563252 3
"MKNK1" 7.77092 449
"KNCN" 0 0
"MOB3C" 5.30452 330
"ATPAF1" 15.445 565
"TEX38" 0 0
"EFCAB14-AS1" 0.441437 4
"EFCAB14" 30.5107 4020
"CYP4B1" 5.66206 260
"CYP4Z2P" 0.397177 12
"CYP4A11" 0 0
"CYP4X1" 0.937989 48
"CYP4Z1" 0.222269 9
"CYP4A22" 0 0
"LINC00853" 0.549713 6
"PDZK1IP1" 211.303 3475
"TAL1" 0.650931 63
"STIL" 2.31183 265
"CMPK1" 77.7189 5025
"FOXE3" 0 0
"FOXD2-AS1" 0.164432 9
"FOXD2" 0.0941651 10
"TRABD2B" 0.271481 44
"SKINTL" 0 0
"SLC5A9" 0.758846 54
"SPATA6" 1.63269 186
"AGBL4" 0.0302336 2
"BEND5" 1.08421 29
"AGBL4-IT1" 0 0
"ELAVL4" 0 0
"DMRTA2" 0 0
"FAF1" 18.2179 1030
"CDKN2C" 14.1812 541
"C1orf185" 0.0593503 1
"RNF11" 62.0592 4232
"TTC39A" 20.3526 1215
"EPS15" 14.0788 1677
"OSBPL9" 11.3838 959
"NRD1" 44.4688 3665
"MIR761" 0 0
"RAB3B" 0.516483 155
"TXNDC12" 21.2917 1108
"KTI12" 4.63897 0
"BTF3L4" 15.3119 1609
"ZFYVE9" 9.41468 1116
"CC2D1B" 4.34966 563
"ORC1" 2.44153 172
"PRPF38A" 13.1915 805
"ZCCHC11" 4.1546 556
"GPX7" 5.86124 143
"FAM159A" 0.169591 2
"COA7" 6.82742 310
"ZYG11B" 4.84366 913
"ZYG11A" 0.393348 38
"ECHDC2" 11.8358 378
"SCP2" 91.7006 3151
"PODN" 15.6866 1049
"SLC1A7" 0.403344 21
"CPT2" 9.02899 620
"C1orf123" 23.9553 493
"MAGOH" 33.4097 440
"LRP8" 1.20227 194
"LOC100507564" 0.257974 6
"SLC25A3P1" 0 0
"DMRTB1" 0 0
"GLIS1" 0.418891 26
"NDC1" 7.76268 840
"YIPF1" 16.2851 605
"DIO1" 0 0
"HSPB11" 24.2347 230
"LRRC42" 14.1644 526
"LDLRAD1" 0.242894 11
"TMEM59" 158.527 5620
"TCEANC2" 2.91967 270
"MIR4781" 0 0
"CDCP2" 0.023966 1
"CYB5RL" 0.746001 59
"MRPL37" 53.7354 1635
"SSBP3" 18.8039 1334
"SSBP3-AS1" 0.104457 6
"ACOT11" 2.48519 141
"FAM151A" 1.5622 5
"MROH7" 4.05025e-98 0
"MROH7-TTC4" 0.317877 21
"TTC4" 9.46788 34
"PARS2" 1.79323 93
"TTC22" 15.2004 642
"C1orf177" 0.291861 11
"DHCR24" 134.258 13018
"TMEM61" 0.282164 6
"BSND" 0 0
"PCSK9" 1.27046 102
"USP24" 6.08421 1531
"LOC100507634" 0.364976 16
"MIR4422" 0 0
"PPAP2B" 58.6596 4326
"PRKAA2" 0.115093 25
"C1orf168" 0 0
"C8A" 0 0
"C8B" 0 0
"DAB1" 0.106257 6
"DAB1-AS1" 0 0
"OMA1" 3.99616 162
"TACSTD2" 221.513 9837
"MYSM1" 2.8895 519
"JUN" 12.7524 945
"LINC01135" 0.0531339 1
"LINC01358" 0.312271 2
"HSD52" 0 0
"FGGY" 3.45132 129
"MIR4711" 0 0
"LOC101926944" 0.257808 2
"HOOK1" 8.61055 1155
"CYP2J2" 2.03538 80
"C1orf87" 0 0
"LOC101926964" 0.45218 23
"NFIA-AS2" 0.0394154 1
"NFIA" 5.22302 1127
"NFIA-AS1" 0 0
"MGC34796" 0 0
"TM2D1" 10.0016 249
"INADL" 3.61262 712
"L1TD1" 0.611544 55
"KANK4" 0.167686 21
"USP1" 19.4905 1568
"DOCK7" 4.77312 761
"ANGPTL3" 0 0
"ATG4C" 2.99597 176
"LINC00466" 0.502839 19
"FOXD3" 0.225666 10
"MIR6068" 0 0
"ALG6" 4.62502 348
"ITGB3BP" 9.3655 182
"EFCAB7" 1.73597 89
"DLEU2L" 0.926002 32
"PGM1" 22.5961 1217
"ROR1" 1.73378 216
"ROR1-AS1" 1.71926 72
"UBE2U" 0 0
"CACHD1" 6.20354 746
"MIR4794" 0 0
"RAVER2" 4.19271 413
"JAK1" 39.8631 4590
"LINC01359" 0 0
"MIR3671" 0 0
"MIR101-1" 0 0
"AK4" 18.5166 2951
"DNAJC6" 0.40384 55
"LEPROT" 25.4269 2503
"LEPR" 5.9423 597
"PDE4B" 3.15257 274
"SGIP1" 0.150027 16
"MIR3117" 0 0
"TCTEX1D1" 0.16338 8
"INSL5" 0 0
"WDR78" 0.190844 14
"MIER1" 9.48852 1158
"SLC35D1" 5.51264 819
"C1orf141" 0.0785669 4
"IL23R" 0.225729 14
"IL12RB2" 2.7759 256
"SERBP1" 87.9183 13607
"GADD45A" 20.5442 561
"GNG12" 73.4264 7334
"GNG12-AS1" 0.0823686 4
"WLS" 30.1378 1638
